frame,x,y,z
0,364.699951171875,328.5399475097656,0.2461000233888626
1,364.699951171875,328.5399475097656,0.09419996291399002
2,364.699951171875,328.5399475097656,-0.03492728993296623
3,364.699951171875,328.5399475097656,-0.05450958013534546
4,364.699951171875,328.5399475097656,-0.039959829300642014
5,364.699951171875,328.5399475097656,-0.022953012958168983
6,364.699951171875,328.5399475097656,-0.012042178772389889
7,364.699951171875,328.5399475097656,-0.0068800924345850945
8,364.699951171875,328.5399475097656,-0.005123958457261324
9,364.699951171875,328.5399475097656,-0.004874019417911768
10,364.699951171875,328.5399475097656,-0.004874019417911768
11,364.699951171875,328.5399475097656,-0.004874019417911768
12,364.699951171875,328.5399475097656,-0.004874019417911768
13,364.699951171875,328.5399475097656,-0.004874019417911768
14,364.699951171875,328.5399475097656,-0.004874019417911768
15,364.699951171875,328.5399475097656,-0.004874019417911768
16,364.699951171875,328.5399475097656,-0.004874019417911768
17,364.699951171875,328.5399475097656,-0.004874019417911768
18,364.699951171875,328.5399475097656,-0.004874019417911768
19,364.699951171875,328.5399475097656,-0.004874019417911768
20,364.699951171875,328.5399475097656,-0.004874019417911768
21,364.699951171875,328.5399475097656,-0.004874019417911768
22,364.699951171875,328.5399475097656,-0.004874019417911768
23,364.699951171875,328.5399475097656,-0.004874019417911768
24,364.699951171875,328.5399475097656,-0.004874019417911768
25,364.699951171875,328.5399475097656,-0.004874019417911768
26,364.699951171875,328.5399475097656,-0.004874019417911768
27,364.699951171875,328.5399475097656,-0.005332126282155514
28,364.699951171875,328.5399475097656,-0.005515613593161106
29,364.699951171875,328.5399475097656,-0.005576305091381073
30,364.699951171875,328.5399475097656,-0.005583591293543577
31,364.7356262207031,328.5379943847656,-0.00566522590816021
32,364.81634521484375,328.5335388183594,-0.00572217907756567
33,364.9358215332031,328.52679443359375,-0.005743236280977726
34,365.0948486328125,328.5167236328125,-0.005749187432229519
35,365.2906799316406,328.5035095214844,-0.005747394636273384
36,365.5257873535156,328.487060546875,-0.0057494924403727055
37,365.8006896972656,328.4674072265625,-0.005752658937126398
38,366.1158142089844,328.44525146484375,-0.005755290854722261
39,366.4709777832031,328.4216613769531,-0.005756091792136431
40,366.8662414550781,328.399169921875,-0.005756435450166464
41,367.3023986816406,328.37725830078125,-0.005758762359619141
42,367.7815246582031,328.35443115234375,-0.0057652853429317474
43,368.3037414550781,328.32916259765625,-0.0054875751957297325
44,368.84979248046875,328.3017883300781,-0.005425968207418919
45,369.4266662597656,328.2718200683594,-0.005457973573356867
46,370.0191955566406,328.23974609375,-0.005492725409567356
47,370.6720275878906,328.2035827636719,-0.005590648390352726
48,371.3775939941406,328.1636657714844,-0.005633373279124498
49,372.1310729980469,328.11785888671875,-0.005640239454805851
50,372.9303283691406,328.06396484375,-0.005635890644043684
51,373.7752685546875,328.0135498046875,-0.005629520397633314
52,374.6658020019531,327.9796142578125,-0.005625476595014334
53,375.603515625,327.9607849121094,-0.00562784168869257
54,376.59033203125,327.9504089355469,-0.005634326953440905
55,377.6277160644531,327.9502258300781,-0.005642642732709646
56,378.6982727050781,327.94818115234375,-0.005587253253906965
57,379.77923583984375,327.93017578125,-0.0055362507700920105
58,380.901123046875,327.9088134765625,-0.005556926596909761
59,382.0533752441406,327.89642333984375,-0.005552081856876612
60,383.2262878417969,327.8803405761719,-0.005595035385340452
61,384.4100646972656,327.8383483886719,-0.006001720204949379
62,385.5921325683594,327.7447509765625,-0.006555766798555851
63,386.7613220214844,327.57958984375,-0.007160701788961887
64,387.9039611816406,327.32501220703125,-0.0077587696723639965
65,389.0016174316406,326.9671325683594,-0.00812387466430664
66,390.0311584472656,326.4980773925781,-0.008049029856920242
67,390.96917724609375,325.9174499511719,-0.007907276041805744
68,391.79840087890625,325.2313232421875,-0.00783880241215229
69,392.5041198730469,324.45074462890625,-0.00781045900657773
70,393.07379150390625,323.5910949707031,-0.007796649821102619
71,393.50140380859375,322.6695251464844,-0.00779241556301713
72,393.7903747558594,321.70123291015625,-0.0076138111762702465
73,393.95550537109375,320.6967468261719,-0.007190341595560312
74,394.0270080566406,319.66119384765625,-0.006727466359734535
75,394.0301513671875,318.5997314453125,-0.006215648725628853
76,393.98175048828125,317.5162048339844,-0.005700588226318359
77,393.9090881347656,316.4102783203125,-0.005272503010928631
78,393.81884765625,315.28350830078125,-0.005278987810015678
79,393.7119140625,314.1382751464844,-0.005371379666030407
80,393.5947265625,312.9765930175781,-0.005436039064079523
81,393.4676513671875,311.8011779785156,-0.0054628560319542885
82,393.32135009765625,310.6167297363281,-0.00546342832967639
83,393.1492919921875,309.42681884765625,-0.005455455742776394
84,392.9434814453125,308.2357177734375,-0.0054428670555353165
85,392.6972961425781,307.04736328125,-0.005432605743408203
86,392.4169006347656,305.8606262207031,-0.005428561940789223
87,392.1072998046875,304.67535400390625,-0.00542665459215641
88,391.7688293457031,303.49334716796875,-0.005423946306109428
89,391.3876037597656,302.3179626464844,0.004238300025463104
