frame,x,y,z
0,364.699951171875,330.5399475097656,0.24609997868537903
1,364.699951171875,330.5399475097656,0.09419992566108704
2,364.699951171875,330.5399475097656,-0.0349273681640625
3,364.699951171875,330.5399475097656,-0.05450959876179695
4,364.699951171875,330.5399475097656,-0.039959829300642014
5,364.699951171875,330.5399475097656,-0.022953052073717117
6,364.699951171875,330.5399475097656,-0.012042255140841007
7,364.699951171875,330.5399475097656,-0.006880168803036213
8,364.699951171875,330.5399475097656,-0.005124034825712442
9,364.699951171875,330.5399475097656,-0.004874057602137327
10,364.699951171875,330.5399475097656,-0.004874057602137327
11,364.699951171875,330.5399475097656,-0.004874057602137327
12,364.699951171875,330.5399475097656,-0.004874057602137327
13,364.699951171875,330.5399475097656,-0.004874057602137327
14,364.699951171875,330.5399475097656,-0.004874057602137327
15,364.699951171875,330.5399475097656,-0.004874057602137327
16,364.699951171875,330.5399475097656,-0.004874057602137327
17,364.699951171875,330.5399475097656,-0.004874057602137327
18,364.699951171875,330.5399475097656,-0.004874057602137327
19,364.699951171875,330.5399475097656,-0.004874057602137327
20,364.699951171875,330.5399475097656,-0.004874057602137327
21,364.699951171875,330.5399475097656,-0.004874057602137327
22,364.699951171875,330.5399475097656,-0.004874057602137327
23,364.699951171875,330.5399475097656,-0.004874057602137327
24,364.699951171875,330.5399475097656,-0.004874057602137327
25,364.699951171875,330.5399475097656,-0.004874057602137327
26,364.699951171875,330.5399475097656,-0.004874057602137327
27,364.699951171875,330.5399475097656,-0.005332164466381073
28,364.699951171875,330.5399475097656,-0.005515689495950937
29,364.699951171875,330.5399475097656,-0.0055763814598321915
30,364.699951171875,330.5399475097656,-0.005583667661994696
31,364.73150634765625,330.5553894042969,-0.005664081312716007
32,364.80230712890625,330.58990478515625,-0.0057198903523385525
33,364.90869140625,330.64105224609375,-0.0057413289323449135
34,365.0513916015625,330.7076110839844,-0.005749225616455078
35,365.2311706542969,330.7869873046875,-0.005750179290771484
36,365.4476623535156,330.8780822753906,-0.005748004652559757
37,365.7015686035156,330.97979736328125,-0.005747050978243351
38,365.9938659667969,331.0919189453125,-0.005748195573687553
39,366.3248291015625,331.2134704589844,-0.005748844239860773
40,366.6941833496094,331.3402404785156,0.0020952033810317516
