frame,x,y,z
0,364.699951171875,331.93994140625,0.24609997868537903
1,364.69866943359375,331.9432373046875,0.1027369499206543
2,364.6979064941406,331.94036865234375,0.011501139961183071
3,364.6958923339844,331.9401550292969,-0.008118991740047932
4,364.6949157714844,331.94012451171875,-0.0008701133774593472
5,364.6944580078125,331.94012451171875,0.010011882521212101
6,364.6942443847656,331.940185546875,0.017523936927318573
7,364.6941833496094,331.940185546875,0.02129587158560753
8,364.6941223144531,331.940185546875,0.02269700914621353
9,364.6941223144531,331.94012451171875,0.02298196777701378
10,364.6941223144531,331.94012451171875,0.02298196777701378
11,364.6941223144531,331.94012451171875,0.02298196777701378
12,364.6941223144531,331.94012451171875,0.02298196777701378
13,364.6941223144531,331.94012451171875,0.02298196777701378
14,364.6941223144531,331.94012451171875,0.02298196777701378
15,364.6941223144531,331.94012451171875,0.02298196777701378
16,364.6941223144531,331.94012451171875,0.02298196777701378
17,364.6941223144531,331.94012451171875,0.02298196777701378
18,364.6941223144531,331.94012451171875,0.02298196777701378
19,364.6941223144531,331.94012451171875,0.02298196777701378
20,364.6941223144531,331.94012451171875,0.02298196777701378
21,364.6941223144531,331.94012451171875,0.02298196777701378
22,364.6941223144531,331.94012451171875,0.02298196777701378
23,364.6941223144531,331.94012451171875,0.02298196777701378
24,364.6941223144531,331.94012451171875,0.02298196777701378
25,364.6941223144531,331.94012451171875,0.02298196777701378
26,364.6941223144531,331.94012451171875,0.02298196777701378
27,364.6941223144531,331.9400634765625,0.022632617503404617
28,364.6941223144531,331.9400634765625,0.022524813190102577
29,364.6941223144531,331.9400329589844,0.02251615561544895
30,364.6941223144531,331.9400329589844,0.022537821903824806
31,364.7281188964844,331.9355773925781,0.022520998492836952
32,364.8074035644531,331.9221496582031,0.022499827668070793
33,364.92340087890625,331.9006042480469,0.02250375784933567
34,365.0774841308594,331.8690490722656,0.022492846474051476
35,365.2701110839844,331.82806396484375,0.022477740421891212
36,365.49847412109375,331.77301025390625,0.022471828386187553
37,365.75982666015625,331.6980285644531,0.02247396484017372
38,366.05462646484375,331.60272216796875,0.022471027448773384
39,366.39080810546875,331.4862365722656,-0.003005885984748602
40,366.7597961425781,331.3599548339844,-0.011429309844970703
41,367.1600341796875,331.2080078125,-0.011000537313520908
42,367.5920715332031,331.02435302734375,-0.008824825286865234
43,368.0658264160156,330.8258972167969,-0.006807498633861542
44,368.5704345703125,330.64190673828125,-0.005807819310575724
45,369.1253967285156,330.4794921875,-0.0055367848835885525
46,369.7000427246094,330.3419189453125,-0.005427570082247257
47,370.3214416503906,330.2197570800781,-0.0055062673054635525
48,371.0035095214844,330.0993347167969,-0.005592250730842352
49,371.7367248535156,329.9728088378906,-0.0056278035044670105
50,372.5173034667969,329.85382080078125,-0.005630054511129856
51,373.3445129394531,329.7508239746094,-0.005626125261187553
52,374.2187805175781,329.65240478515625,-0.005626201629638672
53,375.13665771484375,329.5389709472656,-0.005623226054012775
54,376.09698486328125,329.4001770019531,-0.005626048892736435
55,377.10577392578125,329.26043701171875,-0.005631122272461653
56,378.1631164550781,329.1515808105469,-0.0056272693909704685
57,379.23858642578125,329.0758972167969,-0.005544757936149836
58,380.3374938964844,329.0098876953125,-0.005534457974135876
59,381.4730529785156,328.92193603515625,-0.005549640394747257
60,382.6313171386719,328.7902526855469,-0.00554452883079648
61,383.8124084472656,328.6151428222656,-0.005821552127599716
62,385.01690673828125,328.40185546875,-0.006349506322294474
63,386.23834228515625,328.1399230957031,-0.006971797905862331
64,387.4625244140625,327.8089294433594,-0.007635173853486776
65,388.6634826660156,327.38568115234375,-0.00820703525096178
66,389.8068542480469,326.8512878417969,-0.008224125020205975
67,390.8602600097656,326.1973876953125,-0.008073787204921246
68,391.79315185546875,325.42578125,-0.007935580797493458
69,392.5804138183594,324.54754638671875,-0.007853107526898384
70,393.2041015625,323.58050537109375,-0.007814960554242134
71,393.65484619140625,322.54644775390625,-0.0078032491728663445
72,393.93890380859375,321.4632263183594,-0.007541065104305744
73,394.093505859375,320.3404541015625,-0.0070859333500266075
74,394.1688537597656,319.1864013671875,-0.006594981998205185
75,394.193115234375,318.0066223144531,-0.005977611523121595
76,394.19927978515625,316.801025390625,-0.005384502466768026
77,394.20794677734375,315.5685729980469,-0.005259609315544367
78,394.2284240722656,314.3087158203125,-0.00535444263368845
79,394.2601623535156,313.0210876464844,-0.00545095419511199
80,394.29779052734375,311.7052307128906,-0.005507755093276501
81,394.3357238769531,310.36053466796875,-0.005534076597541571
82,394.3693542480469,308.9863586425781,-0.005544605199247599
83,394.3959045410156,307.58270263671875,-0.005546474363654852
84,394.4147644042969,306.1520690917969,-0.005540027283132076
85,394.4260559082031,304.6986083984375,-0.005525951273739338
86,394.4305419921875,303.2266540527344,-0.005507488269358873
87,394.4299011230469,301.7403869628906,-0.005487880669534206
88,394.426513671875,300.2431640625,-0.005469799041748047
89,394.4217834472656,298.7377624511719,-0.005454120691865683
90,394.41705322265625,297.226318359375,-0.00544130289927125
91,394.4127197265625,295.7104797363281,-0.005431003402918577
92,394.4090576171875,294.1915283203125,-0.005423030816018581
