frame,x,y,z
0,364.699951171875,330.739990234375,0.24609994888305664
1,364.699951171875,330.739990234375,0.09419988095760345
2,364.699951171875,330.739990234375,-0.034927308559417725
3,364.699951171875,330.739990234375,-0.054509542882442474
4,364.699951171875,330.739990234375,-0.03995979204773903
5,364.699951171875,330.739990234375,-0.022952957078814507
6,364.699951171875,330.739990234375,-0.012042178772389889
7,364.699951171875,330.739990234375,-0.0068800924345850945
8,364.699951171875,330.739990234375,-0.005123958457261324
9,364.699951171875,330.739990234375,-0.004873981233686209
10,364.699951171875,330.739990234375,-0.004873981233686209
11,364.699951171875,330.739990234375,-0.004873981233686209
12,364.699951171875,330.739990234375,-0.004873981233686209
13,364.699951171875,330.739990234375,-0.004873981233686209
14,364.699951171875,330.739990234375,-0.004873981233686209
15,364.699951171875,330.739990234375,-0.004873981233686209
16,364.699951171875,330.739990234375,-0.004873981233686209
17,364.699951171875,330.739990234375,-0.004873981233686209
18,364.699951171875,330.739990234375,-0.004873981233686209
19,364.699951171875,330.739990234375,-0.004873981233686209
20,364.699951171875,330.739990234375,-0.004873981233686209
21,364.699951171875,330.739990234375,-0.004873981233686209
22,364.699951171875,330.739990234375,-0.004873981233686209
23,364.699951171875,330.739990234375,-0.004873981233686209
24,364.699951171875,330.739990234375,-0.004873981233686209
25,364.699951171875,330.739990234375,-0.004873981233686209
26,364.699951171875,330.739990234375,-0.004873981233686209
27,364.699951171875,330.739990234375,-0.005332088563591242
28,364.699951171875,330.739990234375,-0.005515613593161106
29,364.699951171875,330.739990234375,-0.005576266907155514
30,364.699951171875,330.739990234375,-0.005583553109318018
31,364.7311706542969,330.7551574707031,-0.0056625553406775
32,364.79998779296875,330.7877197265625,-0.005713291000574827
33,364.90478515625,330.83636474609375,-0.005736484192311764
34,365.04620361328125,330.8987731933594,-0.005744800437241793
35,365.2249450683594,330.97216796875,-0.00574491498991847
36,365.44000244140625,331.05267333984375,-0.005739269312471151
37,365.6932067871094,331.1385803222656,-0.00573732377961278
38,365.9859924316406,331.2285461425781,-0.00573869701474905
39,366.3182373046875,331.322021484375,0.000552272773347795
40,366.69146728515625,331.40435791015625,0.01212656032294035
41,367.10601806640625,331.47479248046875,0.01747320219874382
42,367.5640563964844,331.5294494628906,0.019050806760787964
43,368.0694580078125,331.56787109375,0.017573757097125053
44,368.6106262207031,331.5981140136719,0.008044185116887093
45,369.1914367675781,331.6265869140625,0.00018918990099336952
46,369.787841796875,331.64501953125,-0.003936938941478729
47,370.4249267578125,331.63824462890625,-0.005614376161247492
48,371.1138610839844,331.5916748046875,-0.006031284108757973
49,371.8445129394531,331.4979553222656,-0.005964183714240789
50,372.6018371582031,331.34197998046875,-0.00578790670260787
51,373.3834228515625,331.1222229003906,-0.005672512110322714
52,374.2054138183594,330.8658447265625,-0.0056270407512784
53,375.0691223144531,330.58355712890625,-0.0056159780360758305
54,375.97491455078125,330.2773742675781,-0.005621204152703285
55,376.9283447265625,329.9646911621094,-0.0056259725242853165
56,377.9355773925781,329.6777648925781,-0.005623874720185995
57,378.9822998046875,329.4281311035156,-0.0055678365752100945
58,380.04791259765625,329.2252197265625,-0.005517635028809309
59,381.16259765625,329.0661926269531,-0.005547123029828072
60,382.3157653808594,328.9263610839844,-0.00555700296536088
61,383.4913330078125,328.7646789550781,-0.005688800476491451
62,384.67724609375,328.5522155761719,-0.00614927290007472
63,385.8692932128906,328.27215576171875,-0.0067426105961203575
64,387.06085205078125,327.9114074707031,-0.007424983661621809
65,388.2415466308594,327.4606628417969,-0.008094501681625843
66,389.3968811035156,326.91204833984375,-0.008311023935675621
67,390.5077209472656,326.25927734375,-0.008230266161262989
68,391.5460205078125,325.4988708496094,-0.008094081655144691
69,392.4759826660156,324.6332092285156,-0.007976550608873367
70,393.28045654296875,323.6683654785156,-0.007910098880529404
71,393.9359436035156,322.6204528808594,-0.00784162525087595
72,394.4167785644531,321.51617431640625,-0.007543811574578285
73,394.71343994140625,320.3793029785156,-0.007001971825957298
74,394.8336486816406,319.22406005859375,-0.006492404732853174
75,394.8117980957031,318.04998779296875,-0.005909900646656752
76,394.7028503417969,316.85791015625,-0.00535799004137516
77,394.55609130859375,315.64862060546875,-0.005232677329331636
78,394.4233093261719,314.4180603027344,-0.005327739752829075
79,394.3331298828125,313.1604919433594,-0.005432224366813898
80,394.2808837890625,311.8727722167969,-0.00549814198166132
81,394.2498474121094,310.5557556152344,-0.005527744069695473
82,394.23138427734375,309.2100830078125,-0.00553972227498889
